participant,view,type1,type2,type3,type4,all_types,institution,education,Java,UML,SE,English,score
1,single,2,0,0,0,2,A,M.Sc.,2,2,1,3,low
2,dual,0,0,0,0,0,A,B.Sc.,1,2,2,3,low
3,single,0,0,0,4,4,A,B.Sc.,1,1,1,1,low
4,dual,2,0,0,4,6,A,B.Sc.,2,1,1,2,high
5,single,2,2,0,3,7,A,B.Sc.,2,1,1,3,high
6,dual,0,0,0,0,0,A,B.Sc.,2,1,1,2,low
7,single,2,0,4,0,6,C,M.Sc.,1,2,2,3,high
8,dual,0,0,0,0,0,C,M.Sc.,2,1,1,3,low
9,single,0,0,4,0,4,C,Ph.D.,3,1,2,3,low
10,dual,0,0,0,0,0,C,M.Sc.,2,2,1,3,low
11,single,2,0,0,0,2,C,Ph.D.,2,1,1,3,low
12,dual,0,0,2,0,2,A,M.Sc.,1,1,2,2,low
13,single,0,0,0,4,4,A,Ph.D.,2,1,1,3,low
14,dual,2,0,0,0,2,A,M.Sc.,2,1,1,2,low
15,single,0,0,0,4,4,A,M.Sc.,1,1,2,2,low
16,dual,2,0,0,4,6,A,M.Sc.,1,1,1,1,high
17,single,0,0,0,4,4,A,Ph.D.,1,1,1,3,low
18,dual,2,0,0,0,2,C,M.Sc.,2,2,2,3,low
19,single,1,0,1,4,6,C,B.Sc.,2,2,2,2,high
20,dual,2,0,2,4,8,C,M.Sc.,2,2,2,2,high
21,single,0,0,0,4,4,C,M.Sc.,2,1,2,2,low
22,dual,2,1,1,0,4,B,B.Sc.,2,2,2,1,low
23,single,2,0,0,0,2,A,Ph.D.,1,1,2,2,low
24,dual,2,1,0,0,3,B,M.Sc.,1,1,1,2,low
25,single,0,0,4,1,5,B,B.Sc.,2,3,2,1,low
26,dual,2,0,0,1,3,B,B.Sc.,2,1,2,2,low
27,single,0,0,4,4,8,B,M.Sc.,2,2,2,3,high
28,dual,2,0,4,0,6,B,M.Sc.,2,2,2,2,high
29,single,0,2,4,0,6,B,B.Sc.,1,1,1,1,high
30,dual,2,2,4,0,8,B,B.Sc.,2,2,1,1,high
31,single,0,0,1,0,1,B,M.Sc.,2,2,2,1,low
32,dual,2,0,1,4,7,EM,M.Sc.,2,3,2,1,high
33,single,0,0,1,0,1,B,Ph.D.,3,2,1,3,low
34,dual,0,0,0,0,0,B,M.Sc.,1,1,1,2,low
35,single,0,0,1,0,1,B,B.Sc.,1,2,3,2,low
36,dual,2,0,2,0,4,B,M.Sc.,2,2,2,3,low
