view,jhot,jref,padl
single,2,0,0
dual,0,0,0
single,0,0,0
dual,0,2,0
single,0,4,0
dual,0,4,0
single,2,2,3
dual,0,0,0
single,2,4,0
dual,0,0,0
single,0,4,0
dual,0,0,0
single,0,0,0
dual,0,0,0
single,2,0,0
dual,0,2,0
single,0,0,0
dual,0,2,0
single,4,0,0
dual,0,2,0
single,0,4,0
dual,0,4,0
single,0,0,4
dual,0,2,0
single,1,1,0
dual,2,2,0
single,4,0,0
dual,4,2,1
single,0,4,0
dual,1,0,1
single,0,2,0
dual,0,2,0
single,0,4,0
dual,0,0,2
single,1,4,0
dual,1,4,2
single,0,4,0
dual,0,0,2
single,2,4,0
dual,2,4,0
single,1,0,0
dual,1,0,2
single,0,0,0
dual,4,0,0
single,1,0,0
dual,0,0,2
single,1,0,0
dual,2,0,0
