participant,view,type1,type2,type3,type4,all_types
1,single,2,0,0,0,2
2,dual,0,0,0,0,0
3,single,0,0,0,4,4
4,dual,2,0,0,4,6
5,single,2,2,0,3,7
6,dual,0,0,0,0,0
7,single,2,0,4,0,6
8,dual,0,0,0,0,0
9,single,0,0,4,0,4
10,dual,0,0,0,0,0
11,single,2,0,0,0,2
12,dual,0,0,2,0,2
13,single,0,0,0,4,4
14,dual,2,0,0,0,2
15,single,0,0,0,4,4
16,dual,2,0,0,4,6
17,single,0,0,0,4,4
18,dual,2,0,0,0,2
19,single,1,0,1,4,6
20,dual,2,0,2,4,8
21,single,0,0,0,4,4
22,dual,2,1,1,0,4
23,single,2,0,0,0,2
24,dual,2,1,0,0,3
25,single,0,0,4,1,5
26,dual,2,0,0,1,3
27,single,0,0,4,4,8
28,dual,2,0,4,0,6
29,single,0,2,4,0,6
30,dual,2,2,4,0,8
31,single,0,0,1,0,1
32,dual,2,0,1,4,7
33,single,0,0,1,0,1
34,dual,0,0,0,0,0
35,single,0,0,1,0,1
36,dual,2,0,2,0,4
